"Origen","Destino","TTicket","TEscaleraAnden","TAndenEscalera","TT12","TT23","TT32","TT21","TTotalTren"
2,3,57.8959366871082,71.9719853040702,23.3483654260593,0,48.0003243428655,0,0,48.0003243428655
3,1,0,42.1818728372455,10.5724741377932,0,0,42.5595634104684,73.7389084697599,116.298471880228
2,3,73.6223786791033,59.0834665937785,55.4943745653823,0,42.0600815513171,0,0,42.0600815513171
2,1,64.2426265623081,42.8800635679129,61.4972254236169,0,0,0,70.2602083307828,70.2602083307828
3,1,0,57.9476498050575,12.0525117330099,0,0,48.6471910355613,76.0054587311644,124.652649766726
2,1,54.4037480876993,23.98121491236,23.3231295738369,0,0,0,66.4639330415939,66.4639330415939
3,1,0,84.300856288887,22.1335068624467,0,0,46.4854540326633,83.4322683510901,129.917722383753
1,3,0,14.137994380307,22.6204147748649,70.9407142420857,49.2499608383514,0,0,120.190675080437
3,1,0,124.373876670922,41.2882355956321,0,0,45.1859740843065,69.8118420159776,114.997816100284
3,1,0,34.11795463413,19.731345679611,0,0,48.8893753872253,70.4645950389439,119.353970426169
3,1,0,93.8616766001949,12.5113724917173,0,0,48.798591743689,73.0787508013431,121.877342545032
3,1,0,28.8300523906946,10.3342192340642,0,0,49.9174989876337,66.0151844004246,115.932683388058
2,1,56.9266638371461,29.4154741281848,53.4967580039926,0,0,0,71.1230093183402,71.1230093183402
3,1,25.8624774231366,43.3971449007251,43.4419187886601,0,0,42.0322189293802,64.1556048788702,106.18782380825
2,1,39.6915967175982,154.789380088337,25.2147528915816,0,0,0,75.8159656649738,75.8159656649738
3,1,0,71.6923035285978,10.5327630136162,0,0,45.1229515741579,68.1532610654149,113.276212639573
2,1,65.513303648607,118.408695528831,47.4728682247882,0,0,0,71.7095469582406,71.7095469582406
2,3,59.1747840800826,50.3993965113971,29.9923564664993,0,40.4585784999654,0,0,40.4585784999654
3,1,0,19.2330486637827,39.9749230576639,0,0,43.8044407055713,73.4225042281819,117.226944933753
1,2,0,21.0393258900028,101.887876592521,74.753531099617,0,0,0,74.753531099617
3,1,0,27.6440721750259,27.9517252256422,0,0,42.6356622390449,65.5308229825791,108.166485221624
3,1,0,40.3460839763284,15.8819753676653,0,0,40.9527531499043,64.5782533047545,105.531006454659
3,1,0,15.5699296017466,17.2681192774326,0,0,47.5752130500041,67.942282829278,115.517495879282
2,1,0,31.7733557801694,27.5437202109935,0,0,0,65.1653505879049,65.1653505879049
3,1,0,22.4813418090343,33.615166953856,0,0,46.1829128977843,69.2304559667214,115.413368864506
2,1,0,49.2112657453221,13.86003338231,0,0,0,62.566337092376,62.566337092376
3,2,0,25.1871639605427,21.2282595038414,0,0,43.8448765524663,0,43.8448765524663
2,1,0,60.6963677784864,125.150357280061,0,0,0,74.5070531297541,74.5070531297541
2,1,0,33.4869167493283,20.471482807879,0,0,0,73.9016105647837,73.9016105647837
3,1,0,46.8744345817922,46.4391491150691,0,0,43.7648166855797,74.8155134106585,118.580330096238
2,1,56.6506621032527,34.9652089970186,32.2379386829938,0,0,0,79.3362990710167,79.3362990710167
2,3,47.4204696556757,45.6025008006457,62.5262112898712,0,41.8370523909107,0,0,41.8370523909107
2,1,0,23.2898401096463,114.455733032604,0,0,0,76.2071066792041,76.2071066792041
3,1,0,32.004086766392,14.2497255280614,0,0,47.988025539089,71.2981777113423,119.286203250431
2,1,53.8220693198594,20.8293156139553,101.521311769809,0,0,0,65.8860035243454,65.8860035243454
3,1,0,19.5498372511638,21.0266448086007,0,0,43.6233815643936,66.5735473598518,110.196928924245
1,3,0,19.4677943922579,23.5302774482432,68.8378286739616,49.2673035548069,0,0,118.105132228768
1,2,38.5903999857092,23.4048052784055,35.6588918808848,65.7555255145756,0,0,0,65.7555255145756
2,1,0,22.2243412660468,62.2050584454961,0,0,0,68.4702947191484,68.4702947191484
2,1,71.5810227077792,59.9203626612637,50.5561622960453,0,0,0,70.9493618898289,70.9493618898289
1,3,40.002602926352,57.4129891742892,40.8686581067741,68.8398514594921,47.8588238032535,0,0,116.698675262746
3,1,0,74.0052772279749,39.8147241009359,0,0,48.2210350153036,69.0399953211681,117.261030336472
2,1,0,57.9825299593124,25.2795806891265,0,0,0,67.6050049834121,67.6050049834121
3,1,0,113.521358142222,73.7359945442448,0,0,45.5700965947472,73.2275702504488,118.797666845196
3,1,0,26.4891173876822,14.5433644205332,0,0,45.6331029627472,68.1923457505049,113.825448713252
3,1,0,125.258915195788,54.6532129098601,0,0,48.2608502544463,74.1645922878891,122.425442542335
3,1,0,30.1915887370706,22.7341251447797,0,0,41.2997122341767,64.6906799189721,105.990392153149
3,1,20.0869166153153,58.9807877300267,14.6442720666528,0,0,49.3527623591945,69.0421947300796,118.394957089274
1,3,0,22.9194007162005,107.95328400525,72.7980851441102,41.4804965630174,0,0,114.278581707128
